Estado;Região;Ano;Depósitos
Pará;Norte;2004;34
Paraíba;Nordeste;2004;34
Mato Grosso do Sul;Centro-Oeste;2004;30
Mato Grosso;Centro-Oeste;2004;25
Rio Grande do Norte;Nordeste;2004;24
Sergipe;Nordeste;2004;17
Maranhão;Nordeste;2004;12
Alagoas;Nordeste;2004;11
Piauí;Nordeste;2004;6
Tocantins;Norte;2004;6
Rondônia;Norte;2004;5
Amapá;Norte;2004;2
Acre;Norte;2004;1
Roraima;Norte;2004;
São Paulo;Sudeste;2005;3135
Rio Grande do Sul;Sul;2005;666
Paraná;Sul;2005;649
Rio de Janeiro;Sudeste;2005;593
Minas Gerais;Sudeste;2005;580
Santa Catarina;Sul;2005;579
Bahia;Nordeste;2005;119
Distrito Federal;Centro-Oeste;2005;110
Goiás;Centro-Oeste;2005;104
Espírito Santo;Sudeste;2005;90
Pernambuco;Nordeste;2005;84
Ceará;Nordeste;2005;72
Rio Grande do Norte;Nordeste;2005;35
Pará;Norte;2005;32
Mato Grosso;Centro-Oeste;2005;28
Amazonas;Norte;2005;26
Mato Grosso do Sul;Centro-Oeste;2005;24
Paraíba;Nordeste;2005;24
Sergipe;Nordeste;2005;13
Maranhão;Nordeste;2005;12
Alagoas;Nordeste;2005;10
Piauí;Nordeste;2005;5
Rondônia;Norte;2005;5
Roraima;Norte;2005;3
Amapá;Norte;2005;2
Acre;Norte;2005;1
Tocantins;Norte;2005;1
São Paulo;Sudeste;2006;2986
Rio Grande do Sul;Sul;2006;659
Paraná;Sul;2006;625
Minas Gerais;Sudeste;2006;602
Santa Catarina;Sul;2006;570
Rio de Janeiro;Sudeste;2006;552
Distrito Federal;Centro-Oeste;2006;125
Goiás;Centro-Oeste;2006;108
Espírito Santo;Sudeste;2006;105
Bahia;Nordeste;2006;98
Pernambuco;Nordeste;2006;68
Ceará;Nordeste;2006;63
Mato Grosso;Centro-Oeste;2006;42
Paraíba;Nordeste;2006;39
Rio Grande do Norte;Nordeste;2006;32
Amazonas;Norte;2006;28
Pará;Norte;2006;28
Mato Grosso do Sul;Centro-Oeste;2006;27
Sergipe;Nordeste;2006;21
Alagoas;Nordeste;2006;17
Rondônia;Norte;2006;9
Piauí;Nordeste;2006;8
Maranhão;Nordeste;2006;7
Acre;Norte;2006;6
Tocantins;Norte;2006;5
Roraima;Norte;2006;3
Amapá;Norte;2006;
São Paulo;Sudeste;2007;3034
Minas Gerais;Sudeste;2007;680
Paraná;Sul;2007;633
Rio Grande do Sul;Sul;2007;619
Rio de Janeiro;Sudeste;2007;561
Santa Catarina;Sul;2007;483
Espírito Santo;Sudeste;2007;115
Bahia;Nordeste;2007;103
Goiás;Centro-Oeste;2007;97
Distrito Federal;Centro-Oeste;2007;83
Ceará;Nordeste;2007;64
Mato Grosso;Centro-Oeste;2007;56
Pernambuco;Nordeste;2007;52
Amazonas;Norte;2007;39
Paraíba;Nordeste;2007;31
Mato Grosso do Sul;Centro-Oeste;2007;29
Alagoas;Nordeste;2007;26
Rio Grande do Norte;Nordeste;2007;26
Pará;Norte;2007;21
Sergipe;Nordeste;2007;10
Piauí;Nordeste;2007;6
Rondônia;Norte;2007;5
Maranhão;Nordeste;2007;3
Roraima;Norte;2007;2
Acre;Norte;2007;1
Amapá;Norte;2007;1
Tocantins;Norte;2007;
São Paulo;Sudeste;2008;3109
Rio Grande do Sul;Sul;2008;693
Paraná;Sul;2008;691
Minas Gerais;Sudeste;2008;628
Santa Catarina;Sul;2008;583
Rio de Janeiro;Sudeste;2008;541
Bahia;Nordeste;2008;120
Espírito Santo;Sudeste;2008;118
Goiás;Centro-Oeste;2008;108
Distrito Federal;Centro-Oeste;2008;94
Pernambuco;Nordeste;2008;76
Ceará;Nordeste;2008;71
Amazonas;Norte;2008;54
Mato Grosso;Centro-Oeste;2008;41
Pará;Norte;2008;32
Paraíba;Nordeste;2008;30
Mato Grosso do Sul;Centro-Oeste;2008;20
Alagoas;Nordeste;2008;17
Rio Grande do Norte;Nordeste;2008;17
Maranhão;Nordeste;2008;9
Sergipe;Nordeste;2008;9
Tocantins;Norte;2008;7
Piauí;Nordeste;2008;6
Rondônia;Norte;2008;6
Acre;Norte;2008;2
Roraima;Norte;2008;1
Amapá;Norte;2008;
São Paulo;Sudeste;2009;3059
Paraná;Sul;2009;710
Rio Grande do Sul;Sul;2009;677
Minas Gerais;Sudeste;2009;598
Santa Catarina;Sul;2009;597
Rio de Janeiro;Sudeste;2009;507
Distrito Federal;Centro-Oeste;2009;131
Bahia;Nordeste;2009;129
Espírito Santo;Sudeste;2009;109
Goiás;Centro-Oeste;2009;98
Ceará;Nordeste;2009;78
Pernambuco;Nordeste;2009;66
Amazonas;Norte;2009;50
Mato Grosso do Sul;Centro-Oeste;2009;35
Paraíba;Nordeste;2009;33
Rio Grande do Norte;Nordeste;2009;26
Sergipe;Nordeste;2009;25
Maranhão;Nordeste;2009;23
Mato Grosso;Centro-Oeste;2009;23
Alagoas;Nordeste;2009;22
Pará;Norte;2009;19
Rondônia;Norte;2009;11
Piauí;Nordeste;2009;9
Tocantins;Norte;2009;5
Acre;Norte;2009;2
Amapá;Norte;2009;1
Roraima;Norte;2009;1
São Paulo;Sudeste;2010;2742
Rio Grande do Sul;Sul;2010;674
Minas Gerais;Sudeste;2010;628
Santa Catarina;Sul;2010;627
Paraná;Sul;2010;625
Rio de Janeiro;Sudeste;2010;421
Bahia;Nordeste;2010;128
Espírito Santo;Sudeste;2010;97
Distrito Federal;Centro-Oeste;2010;92
Goiás;Centro-Oeste;2010;86
Ceará;Nordeste;2010;85
Pernambuco;Nordeste;2010;65
Amazonas;Norte;2010;45
Paraíba;Nordeste;2010;37
Mato Grosso do Sul;Centro-Oeste;2010;30
Alagoas;Nordeste;2010;29
Pará;Norte;2010;24
Rio Grande do Norte;Nordeste;2010;22
Maranhão;Nordeste;2010;20
Mato Grosso;Centro-Oeste;2010;16
Sergipe;Nordeste;2010;10
Piauí;Nordeste;2010;9
Tocantins;Norte;2010;9
Rondônia;Norte;2010;4
Amapá;Norte;2010;1
Acre;Norte;2010;
Roraima;Norte;2010;
São Paulo;Sudeste;2011;2971
Rio Grande do Sul;Sul;2011;678
Paraná;Sul;2011;589
Minas Gerais;Sudeste;2011;563
Santa Catarina;Sul;2011;547
Rio de Janeiro;Sudeste;2011;408
Bahia;Nordeste;2011;114
Goiás;Centro-Oeste;2011;100
Pernambuco;Nordeste;2011;94
Distrito Federal;Centro-Oeste;2011;91
Ceará;Nordeste;2011;72
Espírito Santo;Sudeste;2011;56
