Campo_Tec;Area_Tec;Ano;Depósitos
Mobiliário - jogos;Outras áreas;1995;754
Transporte;Engenharia mecânica;1995;572
Outros bens de consumo;Outras áreas;1995;517
Manejo;Engenharia mecânica;1995;509
Engenharia civil;Outras áreas;1995;495
Outras maquinas especiais;Engenharia mecânica;1995;368
Tecnologia aplicada a medicina;Instrumentos;1995;239
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;1995;239
Elementos mecânicos;Engenharia mecânica;1995;234
Máquinas ferramentas;Engenharia mecânica;1995;202
Tecnologia audiovisual;Engenharia elétrica;1995;173
Controle;Instrumentos;1995;146
Aparelhos e processos térmicos;Engenharia mecânica;1995;114
Engenharia química;Química;1995;105
Medição;Instrumentos;1995;105
Motores - bombas - turbinas;Engenharia mecânica;1995;93
Máquinas têxteis e de papel;Engenharia mecânica;1995;93
Telecomunicações;Engenharia elétrica;1995;91
Materiais - metalurgia;Química;1995;80
Tecnologia aplicada ao meio ambiente;Química;1995;76
Tecnologia da computação;Engenharia elétrica;1995;62
Ótica;Instrumentos;1995;44
Química de materiais básicos;Química;1995;42
Química de alimentos;Química;1995;38
Tecnologia de superfícies e revestimentos;Química;1995;29
Química macromolecular e polímeros;Química;1995;23
Produtos farmacêuticos;Química;1995;19
Processos básicos de comunicação;Engenharia elétrica;1995;15
Química orgânica fina;Química;1995;11
Biotecnologia;Química;1995;11
Análise de material biológico;Instrumentos;1995;3
Comunicação digital;Engenharia elétrica;1995;2
Semicondutores;Engenharia elétrica;1995;2
Métodos de gestão em TI;Engenharia elétrica;1995;
Microestruturas e nanotecnologia;Química;1995;
Mobiliário - jogos;Outras áreas;1996;759
Manejo;Engenharia mecânica;1996;559
Outros bens de consumo;Outras áreas;1996;482
Transporte;Engenharia mecânica;1996;478
Engenharia civil;Outras áreas;1996;461
Outras maquinas especiais;Engenharia mecânica;1996;336
Tecnologia aplicada a medicina;Instrumentos;1996;256
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;1996;256
Elementos mecânicos;Engenharia mecânica;1996;222
Tecnologia audiovisual;Engenharia elétrica;1996;173
Controle;Instrumentos;1996;156
Máquinas ferramentas;Engenharia mecânica;1996;146
Aparelhos e processos térmicos;Engenharia mecânica;1996;126
Medição;Instrumentos;1996;113
Engenharia química;Química;1996;111
Motores - bombas - turbinas;Engenharia mecânica;1996;100
Máquinas têxteis e de papel;Engenharia mecânica;1996;95
Telecomunicações;Engenharia elétrica;1996;81
Tecnologia aplicada ao meio ambiente;Química;1996;74
Tecnologia da computação;Engenharia elétrica;1996;62
Materiais - metalurgia;Química;1996;60
Química de materiais básicos;Química;1996;49
Química de alimentos;Química;1996;35
Tecnologia de superfícies e revestimentos;Química;1996;25
Processos básicos de comunicação;Engenharia elétrica;1996;21
Ótica;Instrumentos;1996;20
Produtos farmacêuticos;Química;1996;18
Química macromolecular e polímeros;Química;1996;15
Química orgânica fina;Química;1996;13
Biotecnologia;Química;1996;12
Análise de material biológico;Instrumentos;1996;8
Comunicação digital;Engenharia elétrica;1996;2
Semicondutores;Engenharia elétrica;1996;1
Métodos de gestão em TI;Engenharia elétrica;1996;
Microestruturas e nanotecnologia;Química;1996;
Mobiliário - jogos;Outras áreas;1997;775
Engenharia civil;Outras áreas;1997;540
Manejo;Engenharia mecânica;1997;505
Outros bens de consumo;Outras áreas;1997;441
Transporte;Engenharia mecânica;1997;439
Outras maquinas especiais;Engenharia mecânica;1997;315
Tecnologia aplicada a medicina;Instrumentos;1997;282
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;1997;276
Elementos mecânicos;Engenharia mecânica;1997;227
Máquinas ferramentas;Engenharia mecânica;1997;191
Controle;Instrumentos;1997;171
Tecnologia audiovisual;Engenharia elétrica;1997;159
Engenharia química;Química;1997;125
Medição;Instrumentos;1997;125
Aparelhos e processos térmicos;Engenharia mecânica;1997;110
Telecomunicações;Engenharia elétrica;1997;101
Motores - bombas - turbinas;Engenharia mecânica;1997;95
Tecnologia aplicada ao meio ambiente;Química;1997;87
Química de materiais básicos;Química;1997;81
Máquinas têxteis e de papel;Engenharia mecânica;1997;78
Química de alimentos;Química;1997;66
Materiais - metalurgia;Química;1997;58
Tecnologia da computação;Engenharia elétrica;1997;58
Produtos farmacêuticos;Química;1997;55
Ótica;Instrumentos;1997;37
Biotecnologia;Química;1997;36
Tecnologia de superfícies e revestimentos;Química;1997;32
Química macromolecular e polímeros;Química;1997;24
Processos básicos de comunicação;Engenharia elétrica;1997;18
Química orgânica fina;Química;1997;13
Análise de material biológico;Instrumentos;1997;6
Comunicação digital;Engenharia elétrica;1997;2
Métodos de gestão em TI;Engenharia elétrica;1997;
Semicondutores;Engenharia elétrica;1997;
Microestruturas e nanotecnologia;Química;1997;
