Campo_Tec;Area_Tec;Ano;Depósitos
Química macromolecular e polímeros;Química;1998;379
Telecomunicações;Engenharia elétrica;1998;348
Tecnologia aplicada a medicina;Instrumentos;1998;343
Outras maquinas especiais;Engenharia mecânica;1998;252
Biotecnologia;Química;1998;245
Engenharia química;Química;1998;235
Transporte;Engenharia mecânica;1998;215
Manejo;Engenharia mecânica;1998;207
Elementos mecânicos;Engenharia mecânica;1998;199
Máquinas têxteis e de papel;Engenharia mecânica;1998;194
Tecnologia da computação;Engenharia elétrica;1998;179
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;1998;155
Ótica;Instrumentos;1998;153
Materiais - metalurgia;Química;1998;144
Medição;Instrumentos;1998;138
Máquinas ferramentas;Engenharia mecânica;1998;134
Tecnologia de superfícies e revestimentos;Química;1998;114
Outros bens de consumo;Outras áreas;1998;102
Engenharia civil;Outras áreas;1998;97
Motores - bombas - turbinas;Engenharia mecânica;1998;95
Química de alimentos;Química;1998;88
Tecnologia audiovisual;Engenharia elétrica;1998;88
Controle;Instrumentos;1998;75
Comunicação digital;Engenharia elétrica;1998;73
Mobiliário - jogos;Outras áreas;1998;62
Aparelhos e processos térmicos;Engenharia mecânica;1998;59
Processos básicos de comunicação;Engenharia elétrica;1998;43
Tecnologia aplicada ao meio ambiente;Química;1998;33
Análise de material biológico;Instrumentos;1998;23
Semicondutores;Engenharia elétrica;1998;8
Métodos de gestão em TI;Engenharia elétrica;1998;
Microestruturas e nanotecnologia;Química;1998;
Produtos farmacêuticos;Química;1999;522
Química orgânica fina;Química;1999;501
Química de materiais básicos;Química;1999;450
Telecomunicações;Engenharia elétrica;1999;389
Química macromolecular e polímeros;Química;1999;372
Tecnologia aplicada a medicina;Instrumentos;1999;367
Biotecnologia;Química;1999;280
Manejo;Engenharia mecânica;1999;244
Transporte;Engenharia mecânica;1999;231
Outras maquinas especiais;Engenharia mecânica;1999;222
Engenharia química;Química;1999;219
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;1999;218
Tecnologia da computação;Engenharia elétrica;1999;211
Elementos mecânicos;Engenharia mecânica;1999;196
Máquinas têxteis e de papel;Engenharia mecânica;1999;191
Ótica;Instrumentos;1999;163
Tecnologia de superfícies e revestimentos;Química;1999;151
Engenharia civil;Outras áreas;1999;143
Tecnologia audiovisual;Engenharia elétrica;1999;134
Máquinas ferramentas;Engenharia mecânica;1999;129
Medição;Instrumentos;1999;126
Motores - bombas - turbinas;Engenharia mecânica;1999;113
Materiais - metalurgia;Química;1999;108
Controle;Instrumentos;1999;105
Química de alimentos;Química;1999;87
Comunicação digital;Engenharia elétrica;1999;82
Outros bens de consumo;Outras áreas;1999;81
Processos básicos de comunicação;Engenharia elétrica;1999;69
Aparelhos e processos térmicos;Engenharia mecânica;1999;68
Mobiliário - jogos;Outras áreas;1999;66
Tecnologia aplicada ao meio ambiente;Química;1999;34
Análise de material biológico;Instrumentos;1999;28
Semicondutores;Engenharia elétrica;1999;5
Métodos de gestão em TI;Engenharia elétrica;1999;
Microestruturas e nanotecnologia;Química;1999;
Química orgânica fina;Química;2000;549
Produtos farmacêuticos;Química;2000;482
Telecomunicações;Engenharia elétrica;2000;411
Química de materiais básicos;Química;2000;360
Química macromolecular e polímeros;Química;2000;353
Tecnologia aplicada a medicina;Instrumentos;2000;342
Tecnologia da computação;Engenharia elétrica;2000;286
Biotecnologia;Química;2000;243
Outras maquinas especiais;Engenharia mecânica;2000;235
Engenharia química;Química;2000;220
Manejo;Engenharia mecânica;2000;207
Transporte;Engenharia mecânica;2000;194
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2000;183
Elementos mecânicos;Engenharia mecânica;2000;170
Máquinas têxteis e de papel;Engenharia mecânica;2000;168
Ótica;Instrumentos;2000;132
Medição;Instrumentos;2000;127
Engenharia civil;Outras áreas;2000;118
Máquinas ferramentas;Engenharia mecânica;2000;114
Tecnologia de superfícies e revestimentos;Química;2000;114
Química de alimentos;Química;2000;109
Materiais - metalurgia;Química;2000;108
Motores - bombas - turbinas;Engenharia mecânica;2000;103
Tecnologia audiovisual;Engenharia elétrica;2000;99
Comunicação digital;Engenharia elétrica;2000;96
Outros bens de consumo;Outras áreas;2000;86
Mobiliário - jogos;Outras áreas;2000;62
Controle;Instrumentos;2000;58
Aparelhos e processos térmicos;Engenharia mecânica;2000;57
Tecnologia aplicada ao meio ambiente;Química;2000;33
Processos básicos de comunicação;Engenharia elétrica;2000;33
Análise de material biológico;Instrumentos;2000;24
Semicondutores;Engenharia elétrica;2000;12
Métodos de gestão em TI;Engenharia elétrica;2000;
Microestruturas e nanotecnologia;Química;2000;
Química orgânica fina;Química;2001;539
Produtos farmacêuticos;Química;2001;421
Tecnologia aplicada a medicina;Instrumentos;2001;366
Telecomunicações;Engenharia elétrica;2001;318
Química macromolecular e polímeros;Química;2001;304
